Date;Time;No.;PAR;F1;Fm'1;Fo'1;Y(II)1;Y(NPQ)1;Y(NO)1;NPQ1;qN1;qP1;qL1;ETR1;Abs.1;Inh.1;
22.01.19;13:43:47;1;0;0.1235;0.2574;0.1235;0.520;0.000;0.480;0.000;0.000;1.000;1.000;  0.0;0.000;0.000;
22.01.19;13:44:29;2;36;0.1676;0.2549;0.1230;0.342;0.003;0.655;0.000;0.000;0.663;0.486;  5.2;0.000;0.000;
22.01.19;13:44:49;3;36;0.1456;0.2103;0.1115;0.308;0.125;0.567;0.055;0.322;0.655;0.502;  4.7;0.000;0.000;
22.01.19;13:45:09;4;36;0.1358;0.2039;0.1097;0.334;0.139;0.527;0.067;0.361;0.722;0.583;  5.1;0.000;0.000;
22.01.19;13:45:29;5;36;0.1343;0.2015;0.1090;0.333;0.146;0.521;0.071;0.376;0.725;0.589;  5.0;0.000;0.000;
22.01.19;13:45:49;6;36;0.1343;0.1990;0.1083;0.325;0.154;0.520;0.075;0.392;0.714;0.575;  4.9;0.000;0.000;
22.01.19;13:46:09;7;36;0.1348;0.1975;0.1079;0.318;0.157;0.525;0.075;0.400;0.698;0.559;  4.8;0.000;0.000;
22.01.19;13:46:29;8;36;0.1343;0.2000;0.1086;0.328;0.148;0.523;0.071;0.384;0.718;0.580;  5.0;0.000;0.000;
22.01.19;13:46:49;9;36;0.1324;0.1975;0.1079;0.330;0.154;0.516;0.075;0.400;0.725;0.591;  5.0;0.000;0.000;
22.01.19;13:47:09;10;36;0.1324;0.1990;0.1083;0.335;0.152;0.513;0.075;0.392;0.733;0.600;  5.1;0.000;0.000;
