Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Fo'1,Fo'2,Fo'3,EY1,EY2,EY3,t20.1,t20.2,t20.3,Y(II)1,Y(II)2,Y(II)3,Y(NPQ)1,Y(NPQ)2,Y(NPQ)3,Y(NO)1,Y(NO)2,Y(NO)3,NPQ1,NPQ2,NPQ3,qN1,qN2,qN3,qP1,qP2,qP3,qL1,qL2,qL3,ETR1,ETR2,ETR3,Abs.1,Abs.2,Abs.3,Inh.1,Inh.2,Inh.3
18.01.19,12:30:44,1,0,0.2789,0.2265,0.2069,0.4676,0.3779,0.3725,0.2789,0.2265,0.2069,0.403550043,0.400635089,0.444563758,0,0,0,0.404,0.401,0.445,0,0,0,0.596,0.599,0.555,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.007,-0.102
18.01.19,12:30:55,2,1,0.277,0.2235,0.2049,0.4716,0.3779,0.3779,0.2803,0.2265,0.2085,0.412637829,0.408573697,0.457793067,0.412637829,0.408573697,0.457793067,0.413,0.409,0.458,0,0,0,0.596,0.599,0.555,0,0,0,0,0,0,1,1,1,1,1,1,0.2,0.2,0.2,0,0,0,0,0.01,-0.109
18.01.19,12:31:05,3,11,0.3064,0.248,0.2382,0.4721,0.3838,0.3765,0.2805,0.2286,0.2081,0.350984961,0.35383012,0.367330677,3.860834569,3.892131318,4.04063745,0.351,0.354,0.367,0,0,0,0.651,0.65,0.636,0,0,0,0,0,0,0.867,0.875,0.82,0.793,0.806,0.716,1.6,1.6,1.7,0,0,0,0,-0.008,-0.046
18.01.19,12:31:15,4,21,0.326,0.2701,0.2578,0.4662,0.3833,0.3716,0.2784,0.2284,0.2066,0.300729301,0.295330029,0.306243272,6.315315315,6.201930603,6.431108719,0.301,0.295,0.306,0,0,0.001,0.699,0.708,0.693,0,0,0,0,0,0,0.745,0.729,0.69,0.636,0.617,0.553,2.7,2.6,2.7,0,0,0,0,0.018,-0.018
18.01.19,12:31:25,5,36,0.3314,0.275,0.2623,0.4574,0.3725,0.3652,0.2752,0.2245,0.2046,0.275470048,0.261744966,0.281763417,9.916921732,9.422818792,10.14348302,0.275,0.262,0.282,0.012,0.003,0.004,0.712,0.735,0.715,0.004,0,0,0.055,0,0,0.69,0.659,0.639,0.573,0.538,0.499,4.2,4,4.3,0,0,0,0,0.049,-0.023
18.01.19,12:31:35,6,81,0.3627,0.3074,0.2922,0.4475,0.3672,0.3559,0.2716,0.2226,0.2016,0.189497207,0.162854031,0.17898286,15.34927374,13.19117647,14.49761169,0.189,0.163,0.179,0.036,0.025,0.036,0.774,0.812,0.785,0.012,0.008,0.012,0.102,0.071,0.098,0.482,0.412,0.412,0.361,0.298,0.284,6.4,5.5,6.1,0,0,0,0,0.14,0.055
18.01.19,12:31:45,7,146,0.3828,0.3225,0.3088,0.4343,0.3544,0.3417,0.2667,0.2178,0.197,0.118581626,0.090011287,0.096283289,17.31291734,13.14164786,14.05736026,0.119,0.09,0.096,0.064,0.053,0.078,0.818,0.857,0.826,0.02,0.016,0.024,0.165,0.145,0.176,0.306,0.231,0.227,0.213,0.156,0.145,7.3,5.5,5.9,0,0,0,0,0.241,0.189
18.01.19,12:31:55,8,281,0.3912,0.3309,0.3157,0.4186,0.3446,0.3324,0.2607,0.2141,0.1938,0.065456283,0.039756239,0.050240674,18.39321548,11.17150319,14.11762936,0.066,0.04,0.05,0.092,0.083,0.106,0.842,0.877,0.844,0.027,0.024,0.031,0.235,0.204,0.224,0.173,0.106,0.122,0.115,0.069,0.075,7.7,4.7,5.9,0,0,0,0,0.393,0.235
18.01.19,12:32:05,9,611,0.3917,0.3206,0.3127,0.4039,0.3265,0.3196,0.2549,0.2069,0.1894,0.030205496,0.018070444,0.021589487,18.45555831,11.04104135,13.19117647,0.03,0.018,0.021,0.132,0.118,0.126,0.838,0.864,0.853,0.039,0.039,0.043,0.298,0.302,0.29,0.082,0,0,0.054,0,0,7.8,4.6,5.5,0,0,0,0,0.406,0.292
18.01.19,12:32:15,10,926,0.3716,0.3029,0.299,0.3784,0.3059,0.3034,0.2445,0.1985,0.1836,0.017970402,0.009807127,0.014502307,16.64059197,9.08139915,13.42913645,0.018,0,0.015,0.172,0.19,0.176,0.81,0.81,0.81,0.059,0.059,0.059,0.4,0.4,0.365,0,0,0,0,0,0,7.1,0,5.7,0,0,0,0,1,0.198
18.01.19,12:32:25,11,1251,0.3495,0.2838,0.2819,0.3569,0.2868,0.2819,0.2353,0.1902,0.1755,0.020734099,0.010460251,0,25.93835808,13.08577406,0,0.021,0,0,0.218,0.239,0.248,0.761,0.761,0.752,0.078,0.078,0.082,0.478,0.486,0.459,0,0,0,0,0,0,10.8,0,0,0,0,0,0,1,1
