Date,Time,No.,PAR,F1,F2,F3,Fm'1,Fm'2,Fm'3,Y(II)1,Y(II)2,Y(II)3
23.01.19,13:13:35,1,0,0.1466,0.1956,0.173,0.2304,0.2863,0.2569,0.364,0.317,0.326
23.01.19,13:13:46,2,2,0.1466,0.1912,0.1681,0.2235,0.2755,0.2446,0.344,0.306,0.313
23.01.19,13:13:56,3,12,0.1417,0.1838,0.1559,0.2088,0.2525,0.2142,0.322,0.272,0.272
23.01.19,13:14:06,4,22,0.1368,0.1745,0.1475,0.1936,0.2309,0.1897,0.294,0.244,0.222
23.01.19,13:14:16,5,37,0.1343,0.1686,0.1412,0.1838,0.2167,0.177,0.269,0.222,0.202
23.01.19,13:14:26,6,82,0.1377,0.1647,0.1363,0.1681,0.1956,0.1583,0.181,0.158,0.139
23.01.19,13:14:36,7,147,0.1373,0.1632,0.1328,0.1554,0.1809,0.1431,0.117,0.098,0.072
23.01.19,13:14:46,8,337,0.1373,0.1657,0.1338,0.1426,0.1696,0.1373,0.038,0,0
23.01.19,13:14:56,9,612,0.1309,0.1613,0.1304,0.1314,0.1613,0.1304,0,0,0
23.01.19,13:15:06,10,927,0.1216,0.1539,0.126,0.1201,0.1544,0.126,0,0,0
23.01.19,13:15:16,11,1252,0.1132,0.15,0.1235,0.1108,0.1485,0.1221,0,0,0
